"Region","sector_esc","nivel_en_curso","tipo_int","cantidad","porcentaje"
"AMBA","Estatal","Primaria",1,6463.258,49.34
"AMBA","Estatal","Primaria",2,1570.857,11.99
"AMBA","Estatal","Primaria",3,5006.255,38.22
"AMBA","Estatal","Primaria",4,58.897,0.45
"AMBA","Estatal","Secundaria",1,6687.92,61.85
"AMBA","Estatal","Secundaria",2,1457.83,13.48
"AMBA","Estatal","Secundaria",3,2599.665,24.04
"AMBA","Estatal","Secundaria",4,67.64,0.63
"AMBA","Privada","Primaria",1,2784.318,44.08
"AMBA","Privada","Primaria",2,3372.921,53.4
"AMBA","Privada","Primaria",3,152.683,2.42
"AMBA","Privada","Primaria",4,6.069,0.1
"AMBA","Privada","Secundaria",1,3145.701,58.8
"AMBA","Privada","Secundaria",2,2167.973,40.52
"AMBA","Privada","Secundaria",3,36.199,0.68
"Cuyo","Estatal","Primaria",1,18526.987,36.08
"Cuyo","Estatal","Primaria",2,5864.181,11.42
"Cuyo","Estatal","Primaria",3,23912.663,46.57
"Cuyo","Estatal","Primaria",4,3040.649,5.92
"Cuyo","Estatal","Secundaria",1,10557.226,25.96
"Cuyo","Estatal","Secundaria",2,9060.635,22.28
"Cuyo","Estatal","Secundaria",3,20142.007,49.53
"Cuyo","Estatal","Secundaria",4,904.958,2.23
"Cuyo","Privada","Primaria",1,12376.711,81.47
"Cuyo","Privada","Primaria",2,1418.579,9.34
"Cuyo","Privada","Primaria",3,1396.665,9.19
"Cuyo","Privada","Secundaria",1,3196.764,54.2
"Cuyo","Privada","Secundaria",2,1823.756,30.92
"Cuyo","Privada","Secundaria",3,877.641,14.88
"NEA","Estatal","Primaria",1,8398.172,19.94
"NEA","Estatal","Primaria",2,6654.454,15.8
"NEA","Estatal","Primaria",3,23046.354,54.72
"NEA","Estatal","Primaria",4,4015.955,9.54
"NEA","Estatal","Secundaria",1,7247.871,27.91
"NEA","Estatal","Secundaria",2,4271.155,16.45
"NEA","Estatal","Secundaria",3,13528.094,52.09
"NEA","Estatal","Secundaria",4,923.806,3.56
"NEA","Privada","Primaria",1,1183.5,22.4
"NEA","Privada","Primaria",2,2981.44,56.44
"NEA","Privada","Primaria",3,1117.762,21.16
"NEA","Privada","Secundaria",1,37.919,1.95
"NEA","Privada","Secundaria",2,1791.366,91.92
"NEA","Privada","Secundaria",3,119.627,6.14
"NOA","Estatal","Primaria",1,9705.842,23.6
"NOA","Estatal","Primaria",2,6777.632,16.48
"NOA","Estatal","Primaria",3,23478.439,57.09
"NOA","Estatal","Primaria",4,1166.814,2.84
"NOA","Estatal","Secundaria",1,4893.263,21.9
"NOA","Estatal","Secundaria",2,4652.794,20.82
"NOA","Estatal","Secundaria",3,10029.116,44.88
"NOA","Estatal","Secundaria",4,2769.589,12.39
"NOA","Privada","Primaria",1,1990.009,31.14
"NOA","Privada","Primaria",2,2226.948,34.85
"NOA","Privada","Primaria",3,1445.229,22.62
"NOA","Privada","Primaria",4,728,11.39
"NOA","Privada","Secundaria",1,4217.664,40.77
"NOA","Privada","Secundaria",2,616.397,5.96
"NOA","Privada","Secundaria",3,4054.91,39.2
"NOA","Privada","Secundaria",4,1456,14.07
"Pampeana","Estatal","Primaria",1,13442.673,31.86
"Pampeana","Estatal","Primaria",2,15378.952,36.45
"Pampeana","Estatal","Primaria",3,13211.807,31.32
"Pampeana","Estatal","Primaria",4,156.108,0.37
"Pampeana","Estatal","Secundaria",1,9659.094,40.88
"Pampeana","Estatal","Secundaria",2,7580.862,32.09
"Pampeana","Estatal","Secundaria",3,6369.649,26.96
"Pampeana","Estatal","Secundaria",4,17.099,0.07
"Pampeana","Privada","Primaria",1,2731.457,35.17
"Pampeana","Privada","Primaria",2,3018.493,38.87
"Pampeana","Privada","Primaria",3,1899.045,24.45
"Pampeana","Privada","Primaria",4,117,1.51
"Pampeana","Privada","Secundaria",1,1584.099,26.69
"Pampeana","Privada","Secundaria",2,4293.789,72.36
"Pampeana","Privada","Secundaria",3,56.435,0.95
"Patagonica","Estatal","Primaria",1,30560.869,44.37
"Patagonica","Estatal","Primaria",2,16309.317,23.68
"Patagonica","Estatal","Primaria",3,20075.179,29.15
"Patagonica","Estatal","Primaria",4,1925.542,2.8
"Patagonica","Estatal","Secundaria",1,15054.244,37.81
"Patagonica","Estatal","Secundaria",2,10510.371,26.4
"Patagonica","Estatal","Secundaria",3,12229.125,30.71
"Patagonica","Estatal","Secundaria",4,2022.038,5.08
"Patagonica","Privada","Primaria",1,2838.18,47.05
"Patagonica","Privada","Primaria",2,2203.743,36.54
"Patagonica","Privada","Primaria",3,989.843,16.41
"Patagonica","Privada","Secundaria",1,2181.972,71.43
"Patagonica","Privada","Secundaria",2,11.405,0.37
"Patagonica","Privada","Secundaria",3,861.478,28.2
